[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Sharon dan saudara perempuanmua mengemudi ke toko grosir untuk membeli telur.,Mereka akan menyambut tamu pada makan malam dan akan memanggang kue.,Saat berjalan menuju ke rumah Sharon tersandung dan jatuh.,Telur-telurnya terlempar dari tangannya dan mendarat di atas beton.,Semua telur mendarat dengan aman.,Sharon memecahkan semua telurnya.,1
Suatu ketika terdapat seorang pedagang budak.,Ia menemukan Tuhan dan mengubah jalan sesatnya.,Ia menulis sebuah lagu tentang pergantiannya.,Lagu tersebut menjadi terkenal dan populer.,Semua membenci lagu pedagang budak itu.,Pedagang budak tersebut menjadi sangat terkenal dan kaya dari lagunya.,1
Ella pergi meluncur suatu sore.,Ia bersenang-senang pada awalnya.,Kemudian ia tergelincir dari kereta saljunya.,Ia menggores dahinya pada sebuah batu di tanah.,Ella harus dibawa ke dokter.,Ella tidak cedera dari jatuh.,0
Steph biasanya memakan sarapan dengan jumlah banyak.,Tetapi pekerjaan barunya membuatnya memiliki waktu lebih sedikit untuk memasak makanan.,Jadi Steph memutuskan untuk memakan makanan yang lebih sederhana dengan porsi lebih kecil.,"Dan dalam sebulan, berat badannya turun 10 pon.",Dokternya juga mengatakan ia menjadi lebih sehat.,Ia merasa menjadi seseorang yang gagal total.,0
Bobby merupakan pemain sepak bola bintang di sekolahnya.,Ia selalu mendapat penghargaan untuk kepiawaiannya.,Suatu hari ia sedang bermain dalam pertandingan yang sangat penting.,Lengannya terluka di tengah permainan.,Bobby mengoper bola sepaknya selama berjam-jam setelah pertandingan.,Bobby mengambil waktu untuk pulih dari cederanya.,1
Susan pergi ke bioskop bersama teman-temannya.,Susan menggunakan telepon seluler di bioskop untuk memeriksa e-mailnya.,Seorang pengantar datang dan meminta Susan untuk meninggalkan bioskop.,Susan harus menunggu di lobi selama teman-temannya menyelesaikan filmnya.,Susan sangat kesal dengan semua permasalahan itu.,Susan sangat gembira dengan pengalaman itu.,0
Margie memiliki kaktus Natal.,Kaktus tersebut tidak pernah mekar.,Ia memberikan tanaman tersebut ke Desi.,Desi merawat tanaman tersebut dengan baik.,Kaktus tersebut berkembang dalam perawatannya.,Ikan emasnya sangat bahagia dan sehat.,0
Gina telah berada di taman bersama temannya Pam selama berjam-jam.,Sekarang matahari sedang terbenam.,Ia mengucapkan selamat tinggal dan pulang ke rumah.,Di luar sudah gelap ketika ia sampai.,Gina langsung menuju tempat tidur.,Gina memutuskan bahwa hari belum cukup larut dan kembali ke luar.,0
Avery sangat bersemangat.,Malam ini merupakan pertandingan basketnya yang paling pertama.,Ia telah berlatih dan orang tuanya datang untuk menontonnya.,Avery bermain dengan baik bersama teman-teman satu timnya dan bahkan mencetak beberapa poin!,Orang tua Avery merasa bangga.,Orang tua Avery merasa malu dengannya.,0
Gary suka berkebun.,Musim semi segera datang dan ia ingin segera menanam.,Ia memeriksa Almanak untuk melihat tanaman mana yang aman untuk kebunnya.,Tom memutuskan untuk menanam sejumlah anggrek.,Anggrek-anggrek tersebut akan menjadi jelek.,Anggrek-anggrek tersebut akan menjadi indah.,1
Bay merasa gugup.,Pacarnya telah bersikap aneh selama makan malam.,Bay berpikir ia akan memutuskannya.,Namun kemudian ia berlutut sebelah kaki.,Dan memintanya untuk menikahinya.,Dan ia mulai tertawa lepas.,0
Tommy mengalami hari yang buruk.,Teman-temannya mencoba menghiburnya dengan membawanya pergi.,Ia menggerutu namun mengikuti mereka.,Ia minum dan menari dengan teman-temannya sepanjang malam.,Tommy memiliki teman-teman yang baik.,Tommy memiliki teman-teman yang buruk.,0
Ariel adalah bayi kami yang berusia 5 bulan.,Ia terbangun pada suatu pagi dengan sangat rewel.,Kami tidak dapat mengetahui apa yang salah pada awalnya.,Kemudian kami melihat sebuah gigi baru muncul pada garis gusinya.,Kami pergi ke dokter gigi yang mencabut giginya.,Kami mengalami satu minggu yang merana ketika giginya muncul.,1
Amelia memutuskan untuk berlibur ke Meksiko.,Ia memesan tiket pesawat dan hotelnya.,"Setibanya di Meksiko, ia yakin akan mengunjungi berbagai macam tempat.",Ia menyukai setiap momennya.,Amelia memutuskan untuk tidak pernah kembali ke Meksiko.,Amelia memutuskan untuk berlibur ke Meksiko lebih sering.,1
Kadang-kadang anak-anak saya bertanya-tanya apakah Santa Klaus itu nyata.,Tiap tahun kami meninggalkan kue dan susu untuknya pada Malam Natal.,Tiap hari Natal kami menemukan gelas kosong dan serpihan kue.,Pada suatu tahun kami menemukan potongan-potongan kue di salju luar.,Kami mengatakan pada anak-anak bahwa Santa pasti membagikannya dengan rusa kutub.,Kami memberitahu anak-anak bahwa itu adalah hari Pengucapan Syukur.,0
Amy terbangun merasa lebih lapar hari ini.,"Sayangnya, ia juga terbangun sangat telat.",Ia terburu-buru ke sana kemari di rumah dan tidak punya waktu untuk sarapan.,"Ketika ia sampai ke tempat kerjanya, ia menyadari bahwa rekan kerjanya membawakan sarapan!",Ia sangat berterima kasih dan berjanji untuk membayar rekan kerjanya kembali.,Ia tidak ingin makan.,0
Sekolah menerima hibah untuk membuat lab komputer.,Departemen TI mereka melakukan banyak riset untuk menemukan peralatan yang terbaik.,Mereka membeli peralatannya dengan uang hibah.,Lab komputer tersebut merupakan keberhasilan besar.,Pemerintah terus membiayai lab-lab komputer.,Anak-anak menderita karena lab komputer.,0
Saya adalah kapten dari tim tenis.,Kami bertanding dengan rival divisi kami.,Saya seri dengan lawan saya.,Saya memiliki keunggulan deuce.,Saya memutuskan untuk menyerah dalam pertandingan ini.,Saya memenangkan pertandingan.,1
Ben merupakan pelatih tim basket dan ia menyelenggarakan uji coba hari ini.,Ia harus mengeluarkan satu orang anak karena ia tidak cukup piawai.,Ia merasa tidak enak karena ia tahu bahwa anak itu akan kecewa.,Ia memberikan anak tersebut saran dan hal-hal yang harus ditingkatkan untuk musim selanjutnya.,Anak tersebut berlatih sepanjang tahun dan pada tahun selanjutnya ia berhasil masuk dalam tim.,Anak itu sangat bangga dengan dirinya sendiri.,0
Opsir Dunn tidak ingin melukai siapa pun selama protes.,Ia menyuruh beberapa orang untuk pergi namun mereka tidak pergi.,Ia melepaskan anjing polisinya.,Anjing tersebut menggigit seorang ibu dan bayinya.,Bayi tersebut bahkan mengelus anjing itu tepat setelahnya.,Opsir Dunn terkejut mengetahui apa yang anjingnya telah lakukan.,1
Saya menyadari rambut saya menjadi lumayan panjang.,Saya memutuskan untuk mencoba memotongnya sore itu.,"Setelah saya menemukan tukang potong rambut yang cocok, saya datang untuk memotong rambut.","Tidak ada antrean, sangat cepat!",Saya sangat menyukai potongan rambut saya yang baru.,Ia membuat roti isi terbaik di kota.,0
Saya mengendarai motor saya sepanjang jalan.,Saya mengambil jalan menuju trek berkendara.,Saya berkendara beberapa lap.,"Setelah bosan, saya berkendara kembali ke rumah.",Saya membersihkan motor saya setelah tiba di rumah.,Saya mengganti kata sandi wifi saya untuk meningkatkan keamanan.,0
Pada suatu hari Ryan dihubungi oleh temannya untuk bolos kerja.,Ia ketinggalan kereta ke tempat kerjanya dan malah pergi ke taman.,Ryan dan temannya bermain dengan burung-burung di taman sepanjang hari.,"Di penghujung hari, mereka meninggalkan taman dan melihat atasan Ryan.",Ryan dipecat.,Ryan mendapatkan kenaikan jabatan.,0
Seorang pria mengemudi selama berjam-jam di jalan raya.,Ia melihat rambu untuk tempat istirahat dua mil jauhnya.,Ia mengemudikan mobilnya di jalur yang benar sambil mengantisipasi.,Ia mengambil jalur keluar untuk tempat istirahat.,Pria itu berhenti di tempat istirahat dan turun dari mobil.,Pria itu terus mengemudi selama beberapa jam lagi.,0
Josiah adalah seorang bayi yang sedang mencoba merangkak untuk pertama kalinya.,"Untuk membantunya, ibunya mengeluarkan sebuah mainan lucu yang bergerincing.","Saat membuat mainan itu bergerincing, Josiah menjadi sangat tertarik.",Ia mulai meraba lantai dan bergerak mendekati ibunya.,Josiah merangkak ke ibunya dan mengambil mainan itu.,Josiah berguling telentang dan bermain dengan kakinya.,0
Aku menginginkan seekor hewan peliharaan untuk ulang tahunku.,"Aku tidak yakin apa yang kuinginkan, aku sudah punya anjing.",Aku sedang menelusuri Facebook dan melihat seekor babi mini.,Aku pergi untuk menjemputnya.,Aku membawa pulang seekor anjing karena aku sudah punya begitu banyak anjing.,Aku mengemudi pulang dengan babi mini di mobilku.,1
Sam ingin menjadi seorang penyanyi.,Jadi ia bergabung dengan sebuah kelas menyanyi di kampusnya.,"Di hari pertama kelas, semua orang diminta untuk menyanyikan sebuah lagu.",Sam sangat malu di hari pertamanya.,Tetapi semua teman sekelasnya sangat suportif.,Teman-teman sekelasnya mengajarinya untuk mengatasi rasa takutnya akan ketinggian.,0
"Tumbuh besar, Matt memang bukan pria yang paling percaya diri.","Ia sejak dulu menaksir tetangganya Lexy, tetapi merasa takut.","Namun, saat pesta dansa hampir tiba, ia akhirnya memutuskan untuk mengambil langkah.","Matt meminta Lexi untuk menjadi pasangannya, dan ia langsung setuju.",Matt dan Lexi bersenang-senang di pesta dansa.,Matt merasa sedih dengan perubahan itu.,0
Shyanne punya ujian mengeja.,Ia ingin lulus ujian.,Ia belajar keras.,Ia mendapatkan nilai 100.,Ia merasa kecewa.,Shyanne sangat gembira.,1
"John ingin piza, tetapi ia sedang bokek.",Lalu ia ingat bahwa ia memenangkan piza gratis minggu lalu!,Ia menelepon penjual piza dan memberikan kodenya.,Mereka mengiriminya piza gratis sejam kemudian.,"Sebaliknya, John makan wortel.",John melahap pizanya.,1
Jill harus menghadiri kelas menari sekitar pukul 8 PM.,Ia bersiap-siap dan mengemudi ke tempat pertemuan.,Ia adalah orang pertama yang mengikuti audisi.,"Setelah pertunjukannya, para juri terkesan.","Ia menunggu dihubungi kembali, tetapi ia tak pernah mendengar kabar dari para juri lagi.",Ia menerima banyak penghargaan untuk pertunjukan tarinya.,1
Kami mencoba untuk tidur larut semalam.,Kami minum kopi.,Kami makan cokelat.,Kami bahkan berlari mengitari sofa.,Lalu kami terhenyak di sofa dan tertidur sampai lewat tengah hari.,Kami berlari dengan harapan untuk meningkatkan kecepatan kami.,0
Ally telah menabung uang recehnya dalam sebuah stoples selama bertahun-tahun.,Ia menginginkan sebuah ponsel baru tetapi uangnya tidak cukup.,Ia berpikir akan menghitung uang receh di stoples uang recehnya.,"Yang mengejutkannya, di dalam stoples itu ada lebih dari $300.",Ally menggunakan uang tiga ratus dolar itu untuk membeli pakaian.,Jadi ia membeli sebuah ponsel baru.,1
Ibu memintaku untuk membeli sejumlah barang di toko kelontong.,Aku memutuskan untuk naik sepeda ke toko daripada berjalan kaki.,Aku bertemu dengan seorang teman dan menawarkan untuk memboncengnya di sepedaku.,"Saat sedang berboncengan, sepedaku terbelah dua.",Aku tersadar bahwa sepedaku hanya cocok untuk satu pengendara.,Dengan acuh aku melemparkan tisu bekasku ke selokan.,0
Di dalam mobil seluruh anggota keluarga merasa bersemangat.,"Setelah 9 jam mengemudi, mereka akhirnya tiba di blok nenek mereka.",Mereka dapat melihat rumahnya di depan.,Lampu di rumahnya menyala meskipun saat itu pukul 4 AM.,Mereka memutuskan untuk berputar balik.,Mereka sudah tidak sabar untuk bertemu dengan nenek!,1
Ana sudah menunda-nunda untuk mencuci baju.,Akhirnya ia tak dapat lagi menghindarinya.,Ia membawa semua bajunya ke penatu.,"Selama beberapa jam, ia mencuci dan mengeringkan baju-bajunya.",Ana memutuskan untuk tidak menunggu selama itu lagi.,Ana menghabiskan waktu beberapa jam untuk mengeringkan tanaman obat.,0
Mark pergi ke mal.,"Ia melihat sebuah headphone yang diinginkannya, tetapi ia tak dapat membelinya.",Ia memutuskan untuk mencuri headphone itu.,Mark lalu ditangkap oleh seorang karyawan.,Karyawan tersebut berterima kasih kepada Mark atas kelancangannya.,Mark harus menghadiri sidang minggu depan.,1
Teman-temanku memberiku sebuah teka-teki jigsaw untuk Natal.,Aku belum membukanya.,Aku berencana untuk membukanya tetapi selalu ada hal lain yang muncul.,Seperti berbicara kepadamu saat ini.,Aku tak sabar ingin memulai set warnai-sesuai-angka itu!,"Tetapi sebentar lagi, aku akan mulai memainkan teka-tekinya.",1
Rex sudah bertahun-tahun tidak membersihkan kamarnya.,"Karena jarang ada yang berkunjung, ia merasa tak punya alasan untuk bersih-bersih.","Namun, pada suatu hari ia memutuskan untuk merapikan kamarnya.",Rex menyedot debu di lantai dan merapikan tempat tidurnya.,Rex suka membersihkan kamar mandi.,Ia merasa lebih baik dengan kamarnya.,1
Aku takut dengan ujian besok.,"Karena ujiannya sulit, aku memutuskan untuk belajar sepanjang malam.",Aku memutuskan untuk melewatkan makan malam agar punya waktu tambahan.,"Pada akhirnya, aku sudah penuh persiapan di hari ujian.",Aku lulus ujian dengan gemilang.,Aku tidak lulus ujian.,0
Keluargaku sedang berlibur di Italia.,Kami ingin berfoto bersama-sama.,Kami meminta kepada seseorang yang tidak dikenal untuk memotret kami.,Ia setuju.,Munchen tampak indah di latar belakang foto itu.,Itu adalah foto favorit kami dari liburan itu.,1
Aku terbangun dan mencari selembar kemeja di lemariku.,Semuanya kotor dan berserakan di lantai.,Aku memungut selembar kemeja untuk mengetahui apakah baunya tidak enak.,Aku menemukan satu kemeja biru yang tidak bau.,Aku mencuci kemeja biru itu.,Aku mengenakan kemeja biru itu.,1
JJ bermain sepanjang hari.,"Saat malam tiba, ia kelelahan.","Ia hampir tertidur di bak mandinya, dan ibunya berkata bahwa sudah waktunya untuk tidur.","Ibunya membantunya memakai piama, membawanya ke tempat tidur, dan bernyanyi untuknya.",Ia jatuh tertidur.,JJ terjaga sepanjang malam.,0
Dua orang pemburu berdebat tentang lokasi mereka di dalam hutan.,Mereka tidak tahu apakah mereka telah tiba di tempat yang benar.,Perhatian mereka teralihkan saat seekor rusa besar muncul di rawa.,Kedua pria itu terkesima.,Satu pemburu menguap dan berjalan pergi.,Saat itulah mereka tahu bahwa mereka berada di tempat yang benar.,1
Todd punya ujian yang penting besok.,Ia belum belajar sama sekali.,Hasil ujian ini akan menentukan 50% dari perhitungan nilainya.,Todd tidak yakin apa yang harus dilakukannya.,Todd merasa bangga.,Todd memutuskan untuk belajar sebanyak mungkin sebelum hari esok tiba.,1
Maggie butuh teman baru.,Ia bosan menghabiskan waktu sendirian.,Ia akhirnya menemukan seorang teman di klub buku.,Gadis-gadis itu menghabiskan setiap hari bersama-sama.,Maggie senang memiliki pendamping baru.,Maggie ingin sendiri.,0
Teman sekamarku mendapatkan pekerjaan baru di tempatku bersekolah.,Kami memutuskan untuk berkendara ke tempat kerja bersama-sama.,Kami masuk ke mobil dan berangkat bersama-sama.,Perjalanan itu terasa lebih singkat dengan adanya teman bicara.,Tetapi tak ada seorang pun yang dapat kuajak bicara.,"Saat perjalanan berakhir, kami berpisah jalan.",1
Brittany suka bermain video game daring.,Namun banyak orang mengganggunya saat mereka tahu gendernya.,Brittany hampir berhenti bermain game tetapi menemukan grup game perempuan di Facebook.,"Setelah bergabung, ia mulai bermain dengan gadis-gadis yang dijumpainya secara daring.","Pada akhirnya, ia membenci semua pria.",Ia merasa lebih baik setelah bermain dengan sekelompok orang yang lebih ramah.,1
Bobby belum pernah ke karnaval sebelumnya.,"Temannya, Sam, mengajaknya pergi bersama keluarganya.",Ada begitu banyak hal yang dapat dilihat dan dilakukan!,Kegiatan favorit Bobby adalah naik kincir ria.,Bobby merasa bosan.,Bobby menikmati karnaval itu.,1
Aku sedang mendengarkan radio hari ini.,Ada lagu baru diputar yang kusukai.,Judulnya tak disebutkan.,Aku terus mendengarkan tetapi judulnya tak pernah disebutkan.,Kuharap aku takkan pernah mendengar lagu itu lagi.,Jadi aku memasukkan liriknya ke google.,1
Al dan Val adalah saudara kembar yang sangat dekat.,"Mereka berpakaian dan berbicara dengan gaya yang serupa, dan selalu bersama setiap saat.","Suatu hari, Val didiagnosis dengan kanker terminal.","Tak lama kemudian ia meninggal, dan Al sangat sedih.",Al dan Val pergi makan di luar.,Al merasa semakin kesepian seiring berjalannya waktu.,1
Aku sudah mendapatkan tiga surat tilang seumur hidupku.,Ketiga-tiganya saat aku masih remaja.,Herannya aku tidak kehilangan surat izin mengemudiku.,Aku menghabiskan banyak uang untuk menghapus semuanya dari catatanku.,Seandainya saja aku mendapatkan lebih banyak surat tilang.,Aku sekarang mengemudi dengan kecepatan normal.,1
David selalu bermimpi mengunjungi Oregon.,"Meski ia tidak memiliki banyak uang, ia mulai menabung sedikit.",Akhirnya David memiliki cukup uang untuk perjalanan besarnya ke Oregon.,"Selama perjalanannya, ia menyantap makanan lokal dan melihat pemandangan yang menakjubkan.",David belajar bermain piano.,Ia bersenang-senang di Oregon.,1
Murid sekolah menengah itu pergi ke dokter gigi.,Ia diberitahu bahwa ia memerlukan kawat gigi lagi.,Ia merasa tidak senang.,Ia memasang kawat gigi dan merasa sangat kesakitan.,Tapi kawat gigi itu setimpal ketika ia melihat giginya yang lurus.,Ia tidak sabar untuk mengencangkan kawat giginya pada tiap kunjungan.,0
"Jayne mengunjungi Alden, New york.",Pamannya memiliki peternakan di sana.,Ia membantu merawat hewan-hewan.,Kemudian ia membantu memanen sayur dari kebun.,Jayne menyantap makanan lezat dari hasil kerjanya.,Jayne memutuskan untuk menyulut api di kebun dan menghancurkan peternakan itu.,0
Seth telah bekerja di pabrik penyejuk udara selama enam tahun.,Suatu hari atasannya memanggil seluruh departemen untuk rapat.,Atasan Seth mengumumkan bahwa pabrik harus ditutup.,Seth menyadari dalam ketakutan bahwa ia harus mencari pekerjaan baru.,Seth berpikir ia dapat mencari pekerjaan di pabrik penyejuk udara.,Seth berpikir bahwa memperbarui resumenya adalah ide yang bagus.,1
Amy sedang mengemudi ke sekolah ketika mobilnya terhenti.,Ia menelepon ayahnya.,Ayahnya datang dan memberitahunya bahwa pompa bahan bakarnya tidak berfungsi.,Mereka memanggil mobil derek untuk menderek mobil ke rumah.,Lalu Amy mengemudi ke sekolah.,Dan Amy harus berjalan ke sekolah.,1
Rod merokok sepanjang hidupnya.,Suatu hari ia tertidur saat menonton televisi.,Rokoknya masih menyala dan jatuh ke lantai.,Rokok tersebut menyulut api ke apartemennya.,Rod meninggal dalam kebakaran itu.,Rod bangga dengan apa yang ia telah lakukan.,0
Barry sangat senang ia akhirnya terdaftar untuk pemilihan.,Ia pergi ke tempat pemilihan di dekat rumahnya.,Ketika berjalan ke dalam bangunan ia melihat semua tanda kampanye.,Ia sudah tahu bagaimana ia akan memberikan suaranya.,Barry memberikan suara.,Barry berbalik dan pulang ke rumah.,0
Johnny sedang mengemudi suatu hari ketika ia merasakan guncangan yang aneh.,Ia menepi dan melihat bannya kempes!,Ia memeriksanya lebih dekat dan melihat bahwa ia telah melindasi paku.,Johnny harus memasang roda cadangan dan mengemudi ke bengkel.,Johnny sangat senang ia memiliki ban kempes.,Mereka memperbaikinya dan Johnny mengemudi ke rumah.,1
Amy menginginkan lebih banyak ruang di rumahnya.,Ia memutuskan untuk mencari apartemen baru.,Amy menemukan apartemen baru dengan harga yang pas di dekat tempat kerjanya.,Amy mengunjungi apartemen itu untuk melihatnya secara langsung.,Ia pindah ke apartemen yang lebih kecil dan lebih murah.,Amy menandatangani kontrak sewa dan pindah ke apartemen tersebut.,1
Saudara-saudara laki-laki saya dan saya berbagi piza.,Tinggal satu potong tersisa.,Kami semua menginginkannya.,Sebelum siapa pun dapat berkata apa pun saya menjilatnya.,Saya dapat memakan potongan itu.,Saya memakan hamburger.,0
May adalah kucing penampungan yang dibawa masuk toko hewan untuk hari adopsi.,Cathy dan keluarganya mengunjungi toko hewan pada hari adopsi.,Cathy jatuh cinta pada May begitu dia melihatnya.,"Setelah melamar untuk mengadopsi May dan disetujui, Cathy mengadopsi May.",May dan Cathy menjadi sangat akrab.,May pergi ke luar dan Cathy tidak pernah melihatnya lagi.,0
Monica adalah anak perempuan berusia delapan tahun yang senang merajut syal.,Suatu hari Monica diundang ke pesta ulang tahun.,Monica tidak memiliki uang untuk membelikan temannya hadiah.,Monica memutuskan untuk merajut syal untuknya.,Monica senang melihat temannya mengagumi hadiah buatannya.,Monica merajut syal untuk disumbangkan ke panti asuhan.,0
Tersangka melihat pintu sel terbuka kuncinya.,Ia mendorongnya dan pintunya terbuka.,Tidak ada yang mengawasinya sehingga ia pun kabur.,Ia dengan tenang berjalan di depan pos polisi.,Tersangka memutuskan untuk menyerahkan diri.,Tidak ada yang tampak melihat tersangka.,1
Seorang anak perempuan jatuh cinta dengan seorang anak laki-laki dan anak itu juga menyukainya.,Ia menemukan bahwa orang tua mereka tidak akur.,Anak laki-laki dan anak perempuan itu sangat mencintai satu sama lain.,"Namun, mereka tidak ingin melukai perasaan orang tuanya sehingga mereka menjauh",Tapi pada akhirnya mereka toh kembali bersama.,Orang tua anak laki-laki dan anak perempuan tersebut sangat senang mereka saling mencintai.,0
"Suatu hari, presiden Amerika Serikat mengunjungi kota saya.",Saya menunggu di barisan selama berjam-jam untuk melihatnya.,Saya berdiri di depan podium ketika ia memberikan pidato yang menggugah.,"Ketika ia pergi, ia menjabat tangan saya!",Saya sangat gembira.,Saya benar-benar merasa bosan.,0
Ayah Jake membawanya ke pertandingan sepak bola pertamanya.,Mereka sampai di sana lebih awal dan mendapat tempat duduk yang sangat bagus.,Mereka memakan hot dog dan juga meminum soda!,Jake bahkan melihat pemain favoritnya selama pertandingan!,Jake bergembira di pertandingan sepak bola itu bersama ayahnya.,Jake tidak bergembira hari itu.,0
Saya ingin melakukan sesuatu yang asyik.,Saya mencari sesuatu yang murah untuk dilakukan.,Saya memutuskan untuk pergi berenang.,Saya menemukan pantai danau lokal untuk dikunjungi.,Saya mengemudi ke pantai.,Saya memutuskan untuk mengunjungi Vegas.,0
Amy tidak puas dengan tugasnya.,"Alih-alih menyerahkannya, ia bolos dari kelas.",Ia pergi ke sebuah kedai kopi untuk menulisnya ulang.,Ia pun menghasilkan tugas yang ia banggakan.,Amy mulai pergi ke sekolah di kedai kopi.,Amy memperoleh A untuk tugasnya tapi berada dalam masalah karena bolos dari kelas.,1
Steve merupakan tukang kayu yang unggul.,Ia memiliki rencana untuk mengejutkan istrinya dengan perabotan baru.,"Istrinya menginginkan meja baru, sehingga itulah yang ia putuskan untuk buat.","Ia memotong semua kayu, merakit mejanya, dan melapisinya.",Istri Steve sangat gembira dengan hadiahnya.,Istri Steve mengajukan perceraian di hari yang sama.,0
Aku tak percaya dengan peruntungan.,Namun ayah pacarku memecahkan cermin kemarin,Tak sampai lima detik kemudian ia menggencet tangannya di pintu mobil.,Lalu di jalan menuju rumah sakit ia menabrak seekor rusa.,Aku tidak lagi menganggap golf olahraga.,"Seakan keberuntungannya tidak dapat lebih buruk lagi, rumah sakit tersebut tutup.",1
Jon merasa seperti seorang ayah yang buruk.,"Ia bekerja sangat larut, sehinga ia sering tidak bertemu dengan anak-anaknya ketika ia sampai rumah.","Pada akhir pekan, ia lelah dan mudah menggerutu.","Pada suatu Sabtu, anak laki-lakinya duduk di sofa dan bersandar ke lengan Jon.",Jon pergi menonton film sendirian.,Jon senang menghabiskan waktu dengan anak-anaknya.,1
Ben berjalan menyusuri jalan dan menemukan ujung dari seutas benang.,Ia mengambil dan menariknya.,Datang lebih banyak benang tapi bukan ujungnya.,Ben terus mengikuti benang untuk melihat ke mana perginya.,Ben terpukau oleh benang itu.,Ben berlari.,0
Juan ingin menjadi luchador.,Ia tumbuh dengan menonton mereka di televisi.,Ia berlatih tiap hari di ruang bawah tanah.,Pada akhirnya ia dimasukkan ke acara-acara kecil.,Juan memutuskan bahwa menjadi luchador merupakan cita-cita yang bodoh.,Juan akhirnya menjadi sangat sukses.,1
"Pada hari Minggu, Tori mengetahui bahwa ia hamil!",Ia segera memanggil suaminya untuk membagikan berita baik itu.,Suami Tori juga sama gembiranya.,Keduanya mendiskusikan nama-nama bayi selama hampir setengah jam.,Mereka akhir memutuskan satu nama laki-laki dan satu nama perempuan.,Tori harus pergi terapi karena ia sangat kesal.,0
Sara bekerja di sebelah bakeri.,Ia sedang diet sehingga ia tidak akan pernah pergi ke sana.,Suatu hari ia melihat bakerinya telah ditutup.,Minggu depannya sebuah toko jus organik sehat buka.,Sara pun dapat berkunjung dan membeli makanan.,Makanannya terlalu tak sehat untuk Sara.,0
Rufus baru saja mendaftar di sekolah baru dan ia tidak memiliki teman di sana.,Awalnya dia merasa gelisah dan khawatir kalau ia tidak akan bertemu siapa pun.,"Namun, seorang pria baik bernama Ralph memperkenalkan dirinya pada Rufus pada suatu hari.",Mereka menyadari bahwa mereka ada di kelas Kimia yang sama.,Mereka memutuskan untuk menjadi rekan lab bersama di kelas mereka.,Rufus senang memiliki teman di kelas Geometri.,0
Tom menginginkan set Kimia untuk Natal.,Ibunya berkata set tersebut terlalu berbahaya untuk anak kecil.,"Tom pun meminta anak anjing, dan tiba-tiba ibunya berubah pikiran.","Tom tidak mengerti kenapa, namun ia tidak peduli.",Ia merasa senang mendapat set Kimia itu.,Ia merasa kecewa mendapat set Kimia itu.,0
Tiap dini hari burung-burung kolibri mendatangi berandaku.,Ketika aku mengamati mereka hari ini mereka tampak gelisah.,Salah satu burung di antaranya bertindak sangat teritorial.,Tiba-tiba seekor burung hitam besar datang terbang entah dari mana.,Burung tersebut dengan mudah memakan burung kolibri teritorial itu.,Aku menembak tikus itu dan membuang tubuhnya ke tempat sampah.,0
Io tampil di pertunjukan sekolah.,Kostumnya memerlukan rok berlingkar.,Io tidak dapat menemukan lingkaran di mana-mana!,Ibunya memutuskan untuk membuat lingkaran-lingkarannya sendiri di rumah.,Lo memecahkan soal matematika itu.,Lo memiliki kostum terbaik di pertunjukan itu.,1
Saya sedang di hari pertama kerja.,Manajer saya mengenakan kaus Beatles.,Kami berdua berbincang tentang kesukaan kami terhadap Beatles.,Kami menjadi sahabat baik.,Kami kemudian memutuskan untuk memulai band kecil.,"Kemudian, manajer saya berkata ia tidak menyukai Beatles.",0
Tyler pergi ke pertandingan bisbol.,Dia menonton tim favoritnya!,Timnya bermain keras.,Timnya menang!,Tyler depresi.,Tyler senang!,1
Gigi Flora mulai sakit.,"Dia benci dokter gigi, jadi dia coba mengabaikannya.",Sakitnya semakin parah.,"Akhirnya, Flora harus membuat janji temu dengan dokter gigi.",Dia senang karena dia suka pergi ke dokter gigi.,Dokter gigi dapat membuat giginya terasa lebih baik.,1
Derek suka membaca.,Dia membaca semua buku di rumahnya.,Dia butuh lebih banyak untuk dibaca namun tidak punya uang.,Derek punya kartu perpustakaan!,Derek tidak pernah membaca lagi.,Derek kini membaca sepanjang waktu.,1
Aku pergi ke bar bersama teman-temanku.,"Aku tak punya uang, tapi kupikir aku bisa menemani mereka.",Ternyata mereka semua juga tidak punya uang.,"Tak satu pun dari kami membeli apa pun, dan kami berbincang selama beberapa jam.",Bar meminta aku dan teman-teman pergi setelah beberapa saat.,Setelah itu kami semua memutuskan pergi ke restoran.,0
Aku ada di binatu hari Minggu kemarin.,Ada juga gadis cantik yang mencuci di sana.,Aku menghampiri dan mulai berbasa-basi.,Dia tersenyum namun nampak tidak tertarik.,Aku meninggalkannya tapi dia terus melirik kecil.,Aku membelikannya sebuah gaun petang itu.,0
Pat terbangun dengan hasrat bolos kerja.,Jadi dia menelepon di pagi itu menggunakan suara sakit palsu.,Tidak sampai satu jam setelah menelepon dia menerima pesan.,Pesannya menginfokan kerjanya dibatalkan karena turun salju.,Pat masuk ke mobilnya dan pergi ke kantor.,Pat merasa bodoh karena berpura-pura sakit.,1
Greg mengendarai sepedanya ke toko.,Sebuah tangan muncul dari gang saat Greg melintas.,Greg jatuh dari sepeda karena dia didorong ke tanah.,Dia menyaksikan dari trotoar saat seorang pria pergi menggunakan sepedanya.,Greg membuat surat laporan polisi dan akhirnya mereka menangkap si pencuri.,Greg menjadi juri kompetisi memasak cabai.,0
