[ENDING1],[ENDING2],[STARTPHRASE],[LABEL]
"Hari ini cuacanya seperti berada di Padang Mahsyar. Dengan demikian, cuaca hari ini sangat panas.","Hari ini cuacanya seperti berada di Padang Mahsyar. Dengan demikian, cuaca hari ini sangat dingin.",Hari ini cuacanya seperti berada di Padang Mahsyar.,0
"Hari ini cuacanya seperti berada di di puncak gunung Bromo. Dengan demikian, cuaca hari ini sangat panas.","Hari ini cuacanya seperti berada di di puncak gunung Bromo. Dengan demikian, cuaca hari ini sangat dingin.",Hari ini cuacanya seperti berada di di puncak gunung Bromo.,1
"Youtuber itu makan nasi padang seolah perutnya sudah penuh. Dengan demikian, youtuber itu makan nasi padang dengan porsi sedikit.","Youtuber itu makan nasi padang seolah perutnya sudah penuh. Dengan demikian, youtuber itu makan nasi padang dengan porsi sangat banyak.",Youtuber itu makan nasi padang seolah perutnya sudah penuh.,0
"Youtuber itu makan nasi padang seolah perutnya masih bisa memelar seperti karet. Dengan demikian, youtuber itu makan nasi padang dengan porsi sedikit.","Youtuber itu makan nasi padang seolah perutnya masih bisa memelar seperti karet. Dengan demikian, youtuber itu makan nasi padang dengan porsi sangat banyak.",Youtuber itu makan nasi padang seolah perutnya masih bisa memelar seperti karet.,1
"Harimau itu memiliki bulu bagai lukisan abstrak yang estetik. Dengan demikian, bulu harimau itu sangat indah.","Harimau itu memiliki bulu bagai lukisan abstrak yang estetik. Dengan demikian, bulu harimau itu sangat buruk.",Harimau itu memiliki bulu bagai lukisan abstrak yang estetik.,0
"Harimau itu memiliki bulu bagai lukisan anak TK yang belum bisa menggambar. Dengan demikian, bulu harimau itu sangat indah.","Harimau itu memiliki bulu bagai lukisan anak TK yang belum bisa menggambar. Dengan demikian, bulu harimau itu sangat buruk.",Harimau itu memiliki bulu bagai lukisan anak TK yang belum bisa menggambar.,1
"Resesi 2023 seperti petani yang mengalami gagal panen. Dengan demikian, resesi 2023 menyeramkan.","Resesi 2023 seperti petani yang mengalami gagal panen. Dengan demikian, resesi 2023 sepele.",Resesi 2023 seperti petani yang mengalami gagal panen.,0
"Resesi 2023 seperti anak SD yang kehilangan sebiji permen. Dengan demikian, resesi 2023 menyeramkan.","Resesi 2023 seperti anak SD yang kehilangan sebiji permen. Dengan demikian, resesi 2023 sepele.",Resesi 2023 seperti anak SD yang kehilangan sebiji permen.,1
"Ketika Geisha menyanyi, dia seolah membius semua penonton. Dengan demikian, nyanyian Geisha memukau bagi penonton.","Ketika Geisha menyanyi, dia seolah membius semua penonton. Dengan demikian, nyanyian Geisha menjijikkan bagi penonton.","Ketika Geisha menyanyi, dia seolah membius semua penonton.",0
"Ketika Geisha menyanyi, dia seolah menghantui semua penonton. Dengan demikian, nyanyian Geisha memukau bagi penonton.","Ketika Geisha menyanyi, dia seolah menghantui semua penonton. Dengan demikian, nyanyian Geisha menjijikkan bagi penonton.","Ketika Geisha menyanyi, dia seolah menghantui semua penonton.",1
"Indonesia memiliki banyak destinasi wisata yang masih perawan. Dengan demikian, banyak destinasi wisata di Indonesia yang masih alami.","Indonesia memiliki banyak destinasi wisata yang masih perawan. Dengan demikian, banyak destinasi wisata di Indonesia yang sudah terekspos.",Indonesia memiliki banyak destinasi wisata yang masih perawan.,0
"Indonesia memiliki banyak destinasi wisata yang sudah terjamah. Dengan demikian, banyak destinasi wisata di Indonesia yang masih alami.","Indonesia memiliki banyak destinasi wisata yang sudah terjamah. Dengan demikian, banyak destinasi wisata di Indonesia yang sudah terekspos.",Indonesia memiliki banyak destinasi wisata yang sudah terjamah.,1
"Rambutnya bagai ombak samudra yang berkilau tertimpa sinar rembulan di malam hari. Dengan demikian, rambutnya bergelombang indah.","Rambutnya bagai ombak samudra yang berkilau tertimpa sinar rembulan di malam hari. Dengan demikian, rambutnya kaku takterawat.",Rambutnya bagai ombak samudra yang berkilau tertimpa sinar rembulan di malam hari.,0
"Rambutnya bagai sapu ijuk. Dengan demikian, rambutnya bergelombang indah.","Rambutnya bagai sapu ijuk. Dengan demikian, rambutnya kaku takterawat.",Rambutnya bagai sapu ijuk.,1
"Bagi Nouval, banyaknya harta adalah alasan yang merekahkan bibirnya dengan kebahagiaan. . Dengan demikian, bagi Nouval, harta adalah sumber kebahagiaan.","Bagi Nouval, banyaknya harta adalah alasan yang merekahkan bibirnya dengan kebahagiaan. . Dengan demikian, bagi Nouval, harta adalah sumber kesengsaraan.","Bagi Nouval, banyaknya harta adalah alasan yang merekahkan bibirnya dengan kebahagiaan. .",0
"Bagi Nouval, banyaknya harta adalah cobaan yang memuakkan. . Dengan demikian, bagi Nouval, harta adalah sumber kebahagiaan.","Bagi Nouval, banyaknya harta adalah cobaan yang memuakkan. . Dengan demikian, bagi Nouval, harta adalah sumber kesengsaraan.","Bagi Nouval, banyaknya harta adalah cobaan yang memuakkan. .",1
"Anak laki-laki dalam adat Jawa adalah pusaka yang sangat dipuja. Dengan demikian, anak laki-laki dalam adat Jawa dinilai sangat berharga.","Anak laki-laki dalam adat Jawa adalah pusaka yang sangat dipuja. Dengan demikian, anak laki-laki dalam adat Jawa dinilai tidak berharga.",Anak laki-laki dalam adat Jawa adalah pusaka yang sangat dipuja.,0
"Anak laki-laki dalam adat Jawa adalah beban keluarga. Dengan demikian, anak laki-laki dalam adat Jawa dinilai sangat berharga.","Anak laki-laki dalam adat Jawa adalah beban keluarga. Dengan demikian, anak laki-laki dalam adat Jawa dinilai tidak berharga.",Anak laki-laki dalam adat Jawa adalah beban keluarga.,1
"Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih. Dengan demikian, peran perempuan dalam adat Jawa sangat tidak punya pengaruh.","Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih. Dengan demikian, peran perempuan dalam adat Jawa sangat berpengaruh.",Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih.,0
"Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih. Dengan demikian, peran perempuan dalam adat Jawa sangat tidak punya pengaruh.","Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih. Dengan demikian, peran perempuan dalam adat Jawa sangat berpengaruh.",Peran perempuan dalam adat Jawa bagaikan cat hitam yang dipulaskan di atas tembok berwarna putih.,1
"Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia. Dengan demikian, beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.","Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia. Dengan demikian, beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.",Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia.,0
"Beras miskin adalah simbol kemelaratan yang memilukan bagi sebagian besar warga Indonesia. Dengan demikian, beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.","Beras miskin adalah simbol kemelaratan yang memilukan bagi sebagian besar warga Indonesia. Dengan demikian, beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.",Beras miskin adalah simbol kemelaratan yang memilukan bagi sebagian besar warga Indonesia.,1
"Belajar matematika itu bagai melihat hantu di rumah sakit angker yang sudah kosong berpuluh-puluh tahun. Dengan demikian, belajar matematika itu menakutkan.","Belajar matematika itu bagai melihat hantu di rumah sakit angker yang sudah kosong berpuluh-puluh tahun. Dengan demikian, belajar matematika itu menyenangkan.",Belajar matematika itu bagai melihat hantu di rumah sakit angker yang sudah kosong berpuluh-puluh tahun.,0
"Belajar matematika itu bagai bertemu dan mengobrol dengan artis idola secara langsung. Dengan demikian, belajar matematika itu menakutkan.","Belajar matematika itu bagai bertemu dan mengobrol dengan artis idola secara langsung. Dengan demikian, belajar matematika itu menyenangkan.",Belajar matematika itu bagai bertemu dan mengobrol dengan artis idola secara langsung.,1
"Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama. Dengan demikian, minum kopi saat senja itu rasanya melegakan.","Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama. Dengan demikian, minum kopi saat senja itu rasanya membawa penyesalan.",Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama.,0
"Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga. Dengan demikian, minum kopi saat senja itu rasanya melegakan.","Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga. Dengan demikian, minum kopi saat senja itu rasanya membawa penyesalan.",Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga.,1
"Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian. Dengan demikian, sepak bola adalah hal yang serius bagi masyarakat Indonesia.","Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian. Dengan demikian, sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.",Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian.,0
"Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja. Dengan demikian, sepak bola adalah hal yang serius bagi masyarakat Indonesia.","Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja. Dengan demikian, sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.",Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja.,1
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah. Dengan demikian, bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah. Dengan demikian, bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah.",0
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang. Dengan demikian, bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang. Dengan demikian, bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang.",1
"Menuntut ilmu itu ibarat pendakian panjang yang melelahkan. Dengan demikian, menuntut ilmu itu adalah hal yang melelahkan.","Menuntut ilmu itu ibarat pendakian panjang yang melelahkan. Dengan demikian, menuntut ilmu itu adalah menyenangkan.",Menuntut ilmu itu ibarat pendakian panjang yang melelahkan.,0
"Menuntut ilmu itu ibarat jalan-jalan santai di pagi hari. Dengan demikian, menuntut ilmu itu adalah hal yang melelahkan.","Menuntut ilmu itu ibarat jalan-jalan santai di pagi hari. Dengan demikian, menuntut ilmu itu adalah menyenangkan.",Menuntut ilmu itu ibarat jalan-jalan santai di pagi hari.,1
"Pegunungan berjajar seperti pasukan paskibraka. Dengan demikian, pegunungan berjajar dengan rapi.","Pegunungan berjajar seperti pasukan paskibraka. Dengan demikian, pegunungan berjajar dengan semrawut.",Pegunungan berjajar seperti pasukan paskibraka.,0
"Pegunungan berjajar seperti angkot mengetem sembarangan di bahu jalanan Jakarta. Dengan demikian, pegunungan berjajar dengan rapi.","Pegunungan berjajar seperti angkot mengetem sembarangan di bahu jalanan Jakarta. Dengan demikian, pegunungan berjajar dengan semrawut.",Pegunungan berjajar seperti angkot mengetem sembarangan di bahu jalanan Jakarta.,1
"Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan. Dengan demikian, bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.","Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan. Dengan demikian, bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.",Bola yang ditendang Bambang Pamungkas itu melesat bagai peluru yang ditembakkan.,0
"Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara. Dengan demikian, bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.","Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara. Dengan demikian, bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.",Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara.,1
"Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti pada kulit telur bebek. Dengan demikian, warna baju lebaran keluargaku di tahun ini adalah hijau muda.","Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti pada kulit telur bebek. Dengan demikian, warna baju lebaran keluargaku di tahun ini adalah hijau tua.",Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti pada kulit telur bebek.,0
"Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab. Dengan demikian, warna baju lebaran keluargaku di tahun ini adalah hijau muda.","Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab. Dengan demikian, warna baju lebaran keluargaku di tahun ini adalah hijau tua.",Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab.,1
"Kata-katanya saat mewawancarai narasumber seperti silet. Dengan demikian, kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.","Kata-katanya saat mewawancarai narasumber seperti silet. Dengan demikian, kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.",Kata-katanya saat mewawancarai narasumber seperti silet.,0
"Kata-katanya saat mewawancarai narasumber seperti gunting kuku. Dengan demikian, kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.","Kata-katanya saat mewawancarai narasumber seperti gunting kuku. Dengan demikian, kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.",Kata-katanya saat mewawancarai narasumber seperti gunting kuku.,1
"Kepercayaan itu ibarat gelas kaca. Dengan demikian, kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.","Kepercayaan itu ibarat gelas kaca. Dengan demikian, kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.",Kepercayaan itu ibarat gelas kaca.,0
"Kepercayaan itu ibarat gelas plastik. Dengan demikian, kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.","Kepercayaan itu ibarat gelas plastik. Dengan demikian, kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.",Kepercayaan itu ibarat gelas plastik.,1
"Orang tua adalah malaikat untuk anak-anaknya. Dengan demikian, orang tua adalah yang membimbing anak-anaknya pada kebaikan.","Orang tua adalah malaikat untuk anak-anaknya. Dengan demikian, orang tua adalah yang membimbing anak-anaknya pada keburukan.",Orang tua adalah malaikat untuk anak-anaknya.,0
"Orang tua adalah iblis untuk anak-anaknya. Dengan demikian, orang tua adalah yang membimbing anak-anaknya pada kebaikan.","Orang tua adalah iblis untuk anak-anaknya. Dengan demikian, orang tua adalah yang membimbing anak-anaknya pada keburukan.",Orang tua adalah iblis untuk anak-anaknya.,1
"Siang hari minum es cendol dawet ibarat meneguk air dari sumber mata air di pegunungan. Dengan demikian, minum es cendol dawet di siang hari itu sangat menyegarkan.","Siang hari minum es cendol dawet ibarat meneguk air dari sumber mata air di pegunungan. Dengan demikian, minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.",Siang hari minum es cendol dawet ibarat meneguk air dari sumber mata air di pegunungan.,0
"Siang hari minum es cendol dawet ibarat air yang baru mendidih dari panci. Dengan demikian, minum es cendol dawet di siang hari itu sangat menyegarkan.","Siang hari minum es cendol dawet ibarat air yang baru mendidih dari panci. Dengan demikian, minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.",Siang hari minum es cendol dawet ibarat air yang baru mendidih dari panci.,1
"Di kampung saya, main bulu tangkis itu adalah penentu status sosial seseorang di masyarakat. Dengan demikian, di kampung saya, permainan bulu tangkis itu adalah untuk gengsi.","Di kampung saya, main bulu tangkis itu adalah penentu status sosial seseorang di masyarakat. Dengan demikian, di kampung saya, permainan bulu tangkis itu adalah untuk fungsi.","Di kampung saya, main bulu tangkis itu adalah penentu status sosial seseorang di masyarakat.",0
"Di kampung saya, main bulu tangkis itu adalah untuk melepas penat dan memyehatkan badan. Dengan demikian, di kampung saya, permainan bulu tangkis itu adalah untuk gengsi.","Di kampung saya, main bulu tangkis itu adalah untuk melepas penat dan memyehatkan badan. Dengan demikian, di kampung saya, permainan bulu tangkis itu adalah untuk fungsi.","Di kampung saya, main bulu tangkis itu adalah untuk melepas penat dan memyehatkan badan.",1
"Mencuci dengan detergen A seperti mengusap debu tipis di kaca jendela. Dengan demikian, mencuci dengan detergen A membuat mencuci terasa ringan.","Mencuci dengan detergen A seperti mengusap debu tipis di kaca jendela. Dengan demikian, mencuci dengan detergen A membuat mencuci terasa berat.",Mencuci dengan detergen A seperti mengusap debu tipis di kaca jendela.,0
"Mencuci dengan detergen A seperti menggosok ubin berlumut yang sudah puluhan tahun tidak dibersihkan. Dengan demikian, mencuci dengan detergen A membuat mencuci terasa ringan.","Mencuci dengan detergen A seperti menggosok ubin berlumut yang sudah puluhan tahun tidak dibersihkan. Dengan demikian, mencuci dengan detergen A membuat mencuci terasa berat.",Mencuci dengan detergen A seperti menggosok ubin berlumut yang sudah puluhan tahun tidak dibersihkan.,1
"Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai kelelawar yang bermata tajam. Dengan demikian, ade mendaki gunung di malam hari di bawah cahaya seadanya dengan awas.","Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai kelelawar yang bermata tajam. Dengan demikian, ade mendaki gunung di malam hari di bawah cahaya seadanya dengan meraba-raba.",Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai kelelawar yang bermata tajam.,0
"Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai si buta dari gua hantu. Dengan demikian, ade mendaki gunung di malam hari di bawah cahaya seadanya dengan awas.","Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai si buta dari gua hantu. Dengan demikian, ade mendaki gunung di malam hari di bawah cahaya seadanya dengan meraba-raba.",Ade mendaki gunung malam hari tanpa penerangan yang cukup bagai si buta dari gua hantu.,1
"Candi Borobudur jika dilihat dari atas bagaikan mangkuk yang terbalik. Dengan demikian, candi Borobudur jika dilihat dari atas berbentuk seperti kubah.","Candi Borobudur jika dilihat dari atas bagaikan mangkuk yang terbalik. Dengan demikian, candi Borobudur jika dilihat dari atas berbentuk seperti kerucut.",Candi Borobudur jika dilihat dari atas bagaikan mangkuk yang terbalik.,0
"Candi Borobudur jika dilihat dari atas bagaikan langseng yang terbalik. Dengan demikian, candi Borobudur jika dilihat dari atas berbentuk seperti kubah.","Candi Borobudur jika dilihat dari atas bagaikan langseng yang terbalik. Dengan demikian, candi Borobudur jika dilihat dari atas berbentuk seperti kerucut.",Candi Borobudur jika dilihat dari atas bagaikan langseng yang terbalik.,1
"Diskusi hari ini menguras pikiran. Dengan demikian, diskusi hari ini membuat berpikir keras.","Diskusi hari ini menguras pikiran. Dengan demikian, diskusi hari ini membuat bersantai.",Diskusi hari ini menguras pikiran.,0
"Diskusi hari ini menenangkan pikiran. Dengan demikian, diskusi hari ini membuat berpikir keras.","Diskusi hari ini menenangkan pikiran. Dengan demikian, diskusi hari ini membuat bersantai.",Diskusi hari ini menenangkan pikiran.,1
"Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang tersumbat. Dengan demikian, perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas macet.","Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang tersumbat. Dengan demikian, perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas lancar.",Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang tersumbat.,0
"Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang mengalir deras. Dengan demikian, perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas macet.","Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang mengalir deras. Dengan demikian, perayaan Hari Santri dengan mengadakan kirab budaya di jalan membuat lalu lintas lancar.",Hari Santri dirayakan dengan kirab budaya di sepanjang jalan sehingga lalu lintas seolah air sungai yang mengalir deras.,1
"Malam ini cuacanya bagaikan merasuk melalui pori-pori hingga menusuk tulang. Dengan demikian, malam ini cuaca begitu dingin.","Malam ini cuacanya bagaikan merasuk melalui pori-pori hingga menusuk tulang. Dengan demikian, malam ini cuaca begitu panas.",Malam ini cuacanya bagaikan merasuk melalui pori-pori hingga menusuk tulang.,0
"Malam ini cuacanya bagaikan berdiam di dalam kelas sekolah negeri yang minim ventilasi dan fasilitas seperti kipas angin. Dengan demikian, malam ini cuaca begitu dingin.","Malam ini cuacanya bagaikan berdiam di dalam kelas sekolah negeri yang minim ventilasi dan fasilitas seperti kipas angin. Dengan demikian, malam ini cuaca begitu panas.",Malam ini cuacanya bagaikan berdiam di dalam kelas sekolah negeri yang minim ventilasi dan fasilitas seperti kipas angin.,1
"Skripsi bagi sebagian besar mahasiswa adalah kuntilanak yang membuat mereka kabur menjauhinya. Dengan demikian, skrisi bagi sebagian mahasiswa adalah hal menakutkan yang dihindari.","Skripsi bagi sebagian besar mahasiswa adalah kuntilanak yang membuat mereka kabur menjauhinya. Dengan demikian, skrisi bagi sebagian mahasiswa adalah sesuatu yang harus dihadapi agar bisa melanjutkan hidup ke level yang lebih tinggi.",Skripsi bagi sebagian besar mahasiswa adalah kuntilanak yang membuat mereka kabur menjauhinya.,0
"Skripsi bagi sebagian besar mahasiswa adalah anak tangga yang harus dilalui untuk naik ke anak tangga selanjutnya. Dengan demikian, skrisi bagi sebagian mahasiswa adalah hal menakutkan yang dihindari.","Skripsi bagi sebagian besar mahasiswa adalah anak tangga yang harus dilalui untuk naik ke anak tangga selanjutnya. Dengan demikian, skrisi bagi sebagian mahasiswa adalah sesuatu yang harus dihadapi agar bisa melanjutkan hidup ke level yang lebih tinggi.",Skripsi bagi sebagian besar mahasiswa adalah anak tangga yang harus dilalui untuk naik ke anak tangga selanjutnya.,1
"Sopan santun itu ibarat baju bagi orang Jawa. . Dengan demikian, sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.","Sopan santun itu ibarat baju bagi orang Jawa. . Dengan demikian, sopan santun itu boleh diabaikan bagi orang Jawa.",Sopan santun itu ibarat baju bagi orang Jawa. .,0
"Sopan santun itu ibarat keset bagi orang Jawa. . Dengan demikian, sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.","Sopan santun itu ibarat keset bagi orang Jawa. . Dengan demikian, sopan santun itu boleh diabaikan bagi orang Jawa.",Sopan santun itu ibarat keset bagi orang Jawa. .,1
"Bekerjalah seakan resesi 2023 akan benar-benar terjadi. Dengan demikian, bekerjalah dengan keras.","Bekerjalah seakan resesi 2023 akan benar-benar terjadi. Dengan demikian, bekerjalah dengan biasa-biasa saja.",Bekerjalah seakan resesi 2023 akan benar-benar terjadi.,0
"Bekerjalah seakan alam dan seisinya masih bisa memenuhi kebutuhanmu. Dengan demikian, bekerjalah dengan keras.","Bekerjalah seakan alam dan seisinya masih bisa memenuhi kebutuhanmu. Dengan demikian, bekerjalah dengan biasa-biasa saja.",Bekerjalah seakan alam dan seisinya masih bisa memenuhi kebutuhanmu.,1
"Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti lampu taman yang bulat dan licin. Dengan demikian, setelah acara aqiqah, kepala keponakanku jadi plontos.","Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti lampu taman yang bulat dan licin. Dengan demikian, setelah acara aqiqah, kepala keponakanku jadi jabrik.","Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti lampu taman yang bulat dan licin.",0
"Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti buah rambutan yang masih muda. Dengan demikian, setelah acara aqiqah, kepala keponakanku jadi plontos.","Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti buah rambutan yang masih muda. Dengan demikian, setelah acara aqiqah, kepala keponakanku jadi jabrik.","Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti buah rambutan yang masih muda.",1
"Daniar itu anak orang kaya. Ia bertingkah seolah Roro Jonggrang yang keinginannya harus dipenuhi dalam satu malam. Dengan demikian, daniar anak orang kaya. Tingkahnya sombong.","Daniar itu anak orang kaya. Ia bertingkah seolah Roro Jonggrang yang keinginannya harus dipenuhi dalam satu malam. Dengan demikian, daniar anak orang kaya. Tingkahnya sederhana.",Daniar itu anak orang kaya. Ia bertingkah seolah Roro Jonggrang yang keinginannya harus dipenuhi dalam satu malam.,0
"Daniar itu anak orang kaya. Ia bertingkah seolah Puteri Kadita yang melepaskan kemewahan dan memilih bertapa di laut selatan Jawa. Dengan demikian, daniar anak orang kaya. Tingkahnya sombong.","Daniar itu anak orang kaya. Ia bertingkah seolah Puteri Kadita yang melepaskan kemewahan dan memilih bertapa di laut selatan Jawa. Dengan demikian, daniar anak orang kaya. Tingkahnya sederhana.",Daniar itu anak orang kaya. Ia bertingkah seolah Puteri Kadita yang melepaskan kemewahan dan memilih bertapa di laut selatan Jawa.,1
"Suwito bagaikan emas di kubangan air got. Dengan demikian, suwito adalah orang yang bermartabat.","Suwito bagaikan emas di kubangan air got. Dengan demikian, suwito adalah orang yang urakan.",Suwito bagaikan emas di kubangan air got.,0
"Suwito bagaikan sampah di tumpukan berlian. Dengan demikian, suwito adalah orang yang bermartabat.","Suwito bagaikan sampah di tumpukan berlian. Dengan demikian, suwito adalah orang yang urakan.",Suwito bagaikan sampah di tumpukan berlian.,1
"Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan purnama tanggal 15 yang bulat, penuh, dan bercahaya. . Dengan demikian, paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah cantik.","Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan purnama tanggal 15 yang bulat, penuh, dan bercahaya. . Dengan demikian, paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah menyeramkan.","Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan purnama tanggal 15 yang bulat, penuh, dan bercahaya. .",0
"Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan awan gelap yang mengungkung angkasa, memerangkap cahaya bintang dan bulan. . Dengan demikian, paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah cantik.","Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan awan gelap yang mengungkung angkasa, memerangkap cahaya bintang dan bulan. . Dengan demikian, paras Dayang Sumbi di Legenda Gunung Tangkuban Perahu adalah menyeramkan.","Paras Dayang Sumbi dalam legenda Gunung Tangkuban Perahu diibaratkan awan gelap yang mengungkung angkasa, memerangkap cahaya bintang dan bulan. .",1
