[PREMISE],[CHOICE1],[CHOICE2],question,[LABEL],changed,[CONNECTOR]
Karyawan itu pura-pura sakit.,Karyawan itu pura-pura sakit karena dia mengalami kram perut.,Karyawan itu pura-pura sakit karena ia ingin bolos.,cause,1,False,karena
Gadis itu tercebur dalam kolam renang.,Gadis itu tercebur dalam kolam renang karena dia berlari di dek kolam renang.,Gadis itu tercebur dalam kolam renang karena dia melompat dari papan loncat.,cause,1,False,karena
Tiket film itu terjual habis.,Tiket film itu terjual habis karena itu terjadi ketika hari pembukaan untuk film itu.,Tiket film itu terjual habis karena film itu mendapat ulasan buruk.,cause,0,False,karena
Berat badan pria itu turun.,Berat badan pria itu turun sehingga orang-orang mengisolasinya.,Berat badan pria itu turun sehingga orang-orang memujinya.,effect,1,False,sehingga
Tangan gadis itu  melepuh.,Tangan gadis itu  melepuh karena dia mengetik sebuah surat.,Tangan gadis itu  melepuh karena dia memanjat dengan tali.,cause,1,False,karena
Pemain sirkus itu menyulap sambil mengendarai sepeda roda satu.,Pemain sirkus itu menyulap sambil mengendarai sepeda roda satu sehingga penonton bersorak dengan takjub.,Pemain sirkus itu menyulap sambil mengendarai sepeda roda satu sehingga pemain sirkus itu berayun dari trapeze.,effect,0,False,sehingga
Saya kehilangan kesabaran.,Saya kehilangan kesabaran karena teman saya membuat saya menunggunya.,Saya kehilangan kesabaran karena teman saya tiba tepat waktu.,cause,0,False,karena
Negara-negara yang sedang konflik ingin perdamaian.,Negara-negara yang sedang konflik ingin perdamaian sehingga mereka telah kembangkan senjata nuklir.,Negara-negara yang sedang konflik ingin perdamaian sehingga mereka menegosiasikan sebuah perjanjian.,effect,1,False,sehingga
Pria itu minum obat tidur.,Pria itu minum obat tidur sehingga ia mengantuk.,Pria itu minum obat tidur sehingga ia terkena demam.,effect,0,False,sehingga
Wanita itu menabrak sofa.,Wanita itu menabrak sofa sehingga kaki sofa itu terlepas.,Wanita itu menabrak sofa sehingga lututnya pun memar.,effect,1,False,sehingga
Bocah itu meremas balon itu.,Bocah itu meremas balon itu sehingga balon itu meletus.,Bocah itu meremas balon itu sehingga balon itu terbang.,effect,0,False,sehingga
Para wisatawan check in ke kamar hotel mereka.,Para wisatawan check in ke kamar hotel mereka sehingga mereka membongkar koper mereka.,Para wisatawan check in ke kamar hotel mereka sehingga mereka pergi ke bandara udara.,effect,0,False,sehingga
Saya gigit buah persik itu.,Saya gigit buah persik itu sehingga persik itu memar.,Saya gigit buah persik itu sehingga jus keluar dari buah persik itu.,effect,1,False,sehingga
Tangan saya menjadi lengket.,Tangan saya menjadi lengket karena saya makan sebuah donat.,Tangan saya menjadi lengket karena saya suka makanan manis.,cause,0,False,karena
Saya dorong pintu itu.,Saya dorong pintu itu sehingga pintu itu terbuka.,Saya dorong pintu itu sehingga pintu itu terkunci.,effect,0,False,sehingga
Para aktivis memboikot produk itu.,Para aktivis memboikot produk itu karena produk itu telah di tes untuk kualitasnya.,Para aktivis memboikot produk itu karena produk-produk tersebut diproduksi oleh pekerja anak.,cause,1,False,karena
Saya mengebor sebuah lubang di dinding.,Saya mengebor sebuah lubang di dinding sehingga sebuah tikus keluar dari lubang itu.,Saya mengebor sebuah lubang di dinding sehingga debu berhamburan keluar dari lubang itu.,effect,1,False,sehingga
Wanita itu iri dengan saudara perempuannya.,Wanita itu iri dengan saudara perempuannya karena saudaranya bahagia.,Wanita itu iri dengan saudara perempuannya karena saudaranya telah cerai.,cause,0,False,karena
Saya tumpahkan minguman anggur di baju saya.,Saya tumpahkan minguman anggur di baju saya sehingga saya pakai sebuah celemek.,Saya tumpahkan minguman anggur di baju saya sehingga saya ganti baju saya.,effect,1,False,sehingga
Kasir itu membuka mesin kasirnya.,Kasir itu membuka mesin kasirnya karena pelanggan itu buka dompetnya.,Kasir itu membuka mesin kasirnya karena pelanggan itu berikannya uang.,cause,1,False,karena
Si musisi jalanan menarik perhatian banyak orang.,Si musisi jalanan menarik perhatian banyak orang sehingga orang-orang memberikannya uang kecil.,Si musisi jalanan menarik perhatian banyak orang sehingga ia suruh orang-orang untuk pergi.,effect,0,False,sehingga
Anak laki itu menangis ke pembantunya.,Anak laki itu menangis ke pembantunya karena ia rindu orang tuanya.,Anak laki itu menangis ke pembantunya karena sudah waktunya untuk ia makan camilannya.,cause,0,False,karena
Radar pilot mendeteksi adanya badai.,Radar pilot mendeteksi adanya badai sehingga pilot menavigasi agar menghindari badai.,Radar pilot mendeteksi adanya badai sehingga pilot itu terus terbang menembus badai itu.,effect,0,False,sehingga
Daun rontok dari pohon itu.,Daun rontok dari pohon itu sehingga daunnya berubah warna.,Daun rontok dari pohon itu sehingga daunnya menumpuk di tanah.,effect,1,False,sehingga
Bocah itu sedang dalam suasana hati yang nakal.,Bocah itu sedang dalam suasana hati yang nakal sehingga dia memutuskan untuk bermain kartu dengan saudara perempuannya.,Bocah itu sedang dalam suasana hati yang nakal sehingga dia memutuskan untuk memainkan lelucon praktis kepada saudara perempuannya.,effect,1,False,sehingga
Anak itu mengeluh bahwa dia harus pergi ke kamar mandi.,Anak itu mengeluh bahwa dia harus pergi ke kamar mandi sehingga ayahnya memberinya minuman soda.,Anak itu mengeluh bahwa dia harus pergi ke kamar mandi sehingga ayahnya berhentikan mobil di sebuah pompa bensin.,effect,1,False,sehingga
Anak itu menaburkan makanan ikan ke dalam tangki ikan.,Anak itu menaburkan makanan ikan ke dalam tangki ikan sehingga ikan itu melompat keluar dari tangki.,Anak itu menaburkan makanan ikan ke dalam tangki ikan sehingga ikan itu berenang menuju makanan.,effect,1,False,sehingga
Pandangan politik wanita itu berubah.,Pandangan politik wanita itu berubah sehingga dia ganti partainya.,Pandangan politik wanita itu berubah sehingga dia libatkan diri dalam protes.,effect,0,False,sehingga
Wastafel kamar mandi tersumbat.,Wastafel kamar mandi tersumbat sehingga saya nyalakan kerannya.,Wastafel kamar mandi tersumbat sehingga saya tuangkan pembersih ke dalamnya.,effect,1,False,sehingga
Para penumpang turun dari kereta.,Para penumpang turun dari kereta karena kereta telah tiba di stasiun.,Para penumpang turun dari kereta karena kereta itu meniup peluitnya.,cause,0,False,karena
Pria itu menekan tutup amplop itu.,Pria itu menekan tutup amplop itu sehingga ia cap amplop itu.,Pria itu menekan tutup amplop itu sehingga ia tutup amplop itu.,effect,1,False,sehingga
Teman-teman itu kehilangan kontak.,Teman-teman itu kehilangan kontak karena mereka menikmati kebersamaan satu sama lain.,Teman-teman itu kehilangan kontak karena mereka pindah ke kota yang berbeda.,cause,1,False,karena
Akuntan salah mengelola dana perusahaan.,Akuntan salah mengelola dana perusahaan sehingga ia di pecat dari jabatannya.,Akuntan salah mengelola dana perusahaan sehingga ia pergi cuti hamil.,effect,0,False,sehingga
Saya memandang jam itu.,Saya memandang jam itu karena saya dengar centangan jam itu.,Saya memandang jam itu karena saya ingin tahu waktu saat itu.,cause,1,False,karena
Tangan saya keram.,Tangan saya keram karena saya tulis esai saya di atas kertas.,Tangan saya keram karena saya pengangan tangan dengan istri saya.,cause,0,False,karena
Baut itu mengencang.,Baut itu mengencang karena saya ganti baut itu.,Baut itu mengencang karena saya putar kunci pas itu.,cause,1,False,karena
Pasangan itu menandatangani kontrak untuk sebuah apartemen.,Pasangan itu menandatangani kontrak untuk sebuah apartemen sehingga pasangan itu pindah ke apartemen itu.,Pasangan itu menandatangani kontrak untuk sebuah apartemen sehingga apartemen itu diambil oleh pemerintah kota.,effect,0,False,sehingga
Wanita itu duduk dihalamannya.,Wanita itu duduk dihalamannya karena ia ingin melihat matahari terbenam.,Wanita itu duduk dihalamannya karena ia pikir dia melihat kilat.,cause,0,False,karena
Pria itu mengenakan baju pelampung di air.,Pria itu mengenakan baju pelampung di air karena ia tidak bisa berenang.,Pria itu mengenakan baju pelampung di air karena airnya dangkal.,cause,0,False,karena
Wanita itu membuat kesalahan ketika mengetik dokumen.,Wanita itu membuat kesalahan ketika mengetik dokumen sehingga ia hapus dokumen itu.,Wanita itu membuat kesalahan ketika mengetik dokumen sehingga ia tekan tombol backspace.,effect,1,False,sehingga
Perempuan itu berlagak di depan teman-temannya.,Perempuan itu berlagak di depan teman-temannya karena ia dapat nilai yang buruk.,Perempuan itu berlagak di depan teman-temannya karena ia menangkan sebuah kompetisi.,cause,1,False,karena
Halaman itu berlumpur.,Halaman itu berlumpur karena ada turun hujan sepanjang malam.,Halaman itu berlumpur karena halaman itu penuh dengan rumput liar.,cause,0,False,karena
Wanita itu ketiduran.,Wanita itu ketiduran karena dia menginap di hotel.,Wanita itu ketiduran karena ia lupa nyalakan weker.,cause,1,False,karena
Pria itu pakai lotion sunscreen.,Pria itu pakai lotion sunscreen karena iya duduk di tempat yang berteduh.,Pria itu pakai lotion sunscreen karena ia pergi ke pantai.,cause,1,False,karena
Para peneliti membuktikan teorinya.,Para peneliti membuktikan teorinya sehingga para peneliti cabutkan teorinya.,Para peneliti membuktikan teorinya sehingga orang-orang menerima teorinya.,effect,1,False,sehingga
Para penggemar di pertandingan itu mencemooh.,Para penggemar di pertandingan itu mencemooh karena permainan itu berlembur.,Para penggemar di pertandingan itu mencemooh karena wasit melakukan panggilan buruk.,cause,1,False,karena
Saya masukkan kode gembok.,Saya masukkan kode gembok sehingga saya kunci gembok itu.,Saya masukkan kode gembok sehingga gembok itu terbuka.,effect,1,False,sehingga
Para penonton itu tambah ramai.,Para penonton itu tambah ramai sehingga sang ayah memberikan uang kepada putranya.,Para penonton itu tambah ramai sehingga sang ayah meraih tangan putranya.,effect,1,False,sehingga
Salju menghalangi jalanan masuk.,Salju menghalangi jalanan masuk sehingga saya kumpulkan salju itu menjadi bola salju.,Salju menghalangi jalanan masuk sehingga saya menyekop salju itu untuk bersihkan jalan.,effect,1,False,sehingga
Mereka mendayung di atas kayaknya.,Mereka mendayung di atas kayaknya sehingga kayak itu pun sampai di pantai.,Mereka mendayung di atas kayaknya sehingga kayak mereka terkena gelombang.,effect,0,False,sehingga
Gadis itu kehilangan kendali atas sepedanya.,Gadis itu kehilangan kendali atas sepedanya sehingga ia lepaskan stang sepedanya.,Gadis itu kehilangan kendali atas sepedanya sehingga ia menabrak sebuah pagar.,effect,1,False,sehingga
Saya nyalakan kipas angin.,Saya nyalakan kipas angin sehingga air terciprat di kulit saya.,Saya nyalakan kipas angin sehingga saya rasakan udara dingin mengenai saya.,effect,1,False,sehingga
Para peselancar kembalik ke pantai.,Para peselancar kembalik ke pantai karena mereka basah kuyup.,Para peselancar kembalik ke pantai karena mereka lihat sebuah hiu.,cause,1,False,karena
Saya menarik sumbat saluran air di bak mandi.,Saya menarik sumbat saluran air di bak mandi sehingga air mengalir keluar dari bak mandi.,Saya menarik sumbat saluran air di bak mandi sehingga air terciprat ke lantai.,effect,0,False,sehingga
Sang suami merasa bersalah karena berselingkuh.,Sang suami merasa bersalah karena berselingkuh sehingga ia menuduh istrinya telah selingkuh.,Sang suami merasa bersalah karena berselingkuh sehingga dia mengakui perselingkuhannya padanya.,effect,1,False,sehingga
Tinta di poster itu luntur.,Tinta di poster itu luntur sehingga saya menunggunya sampai kering.,Tinta di poster itu luntur sehingga saya mencipratkan air ke poster.,effect,1,False,sehingga
Anak itu bangun menjerit.,Anak itu bangun menjerit karena ia sedang mimpi buruk.,Anak itu bangun menjerit karena ia mengompol.,cause,0,False,karena
Bocah itu menaruh kakinya di atas meja.,Bocah itu menaruh kakinya di atas meja sehingga ayahnya duduk di meja.,Bocah itu menaruh kakinya di atas meja sehingga ayahnya memarahinya.,effect,1,False,sehingga
Teman saya menoleh ke arah saya.,Teman saya menoleh ke arah saya karena saya meneriakkan namanya.,Teman saya menoleh ke arah saya karena saya melambaikan tangan.,cause,0,False,karena
Pemerintah menindas warganya.,Pemerintah menindas warganya sehingga warga melakukan pemberontakan.,Pemerintah menindas warganya sehingga warga mendaftarkan diri untuk memilih.,effect,0,False,sehingga
Bocah itu tersesat di hutan.,Bocah itu tersesat di hutan sehingga dia mendirikan tenda.,Bocah itu tersesat di hutan sehingga dia berteriak untuk pertolongan.,effect,1,False,sehingga
Wanita itu bepergian ke luar negeri.,Wanita itu bepergian ke luar negeri karena dia ingin belajar cara menggambar.,Wanita itu bepergian ke luar negeri karena dia ingin belajar tentang budaya asing.,cause,1,False,karena
Pria itu cemburu pada rekan kerjanya.,Pria itu cemburu pada rekan kerjanya karena rekan kerjanya mendapat promosi di kantor.,Pria itu cemburu pada rekan kerjanya karena rekan kerjanya bekerja lembur.,cause,0,False,karena
Pria itu melihat adanya alien.,Pria itu melihat adanya alien karena dia berhalusinasi.,Pria itu melihat adanya alien karena dia sedang bermeditasi.,cause,0,False,karena
Rambut pria itu menjadi pirang.,Rambut pria itu menjadi pirang karena ia pakai pemutih di rambutnya.,Rambut pria itu menjadi pirang karena ia cuci rambutnya dengan sampo.,cause,0,False,karena
Artis itu menciptakan karya baru.,Artis itu menciptakan karya baru karena dia mengkritik pekerjaan sebelumnya.,Artis itu menciptakan karya baru karena dia merasa terinspirasi.,cause,1,False,karena
Anak lelaki itu pindah dari rumahnya.,Anak lelaki itu pindah dari rumahnya karena dia telah dipulangkan dari militer.,Anak lelaki itu pindah dari rumahnya karena dia akan kuliah.,cause,1,False,karena
Buku-buku jatuh dari rak buku.,Buku-buku jatuh dari rak buku karena rak buku itu berdebu.,Buku-buku jatuh dari rak buku karena rak buku itu terguncang oleh gempa bumi.,cause,1,False,karena
Listrik di rumah saya mati.,Listrik di rumah saya mati sehingga saya nyalakan lampu.,Listrik di rumah saya mati sehingga saya mereset pemutus arus di rumah saya.,effect,1,False,sehingga
Kami naik roller coaster.,Kami naik roller coaster karena roller coaster itu tampak menakutkan.,Kami naik roller coaster karena roller coaster itu terlihat seru.,cause,1,False,karena
Popcorn di dalam kantong itu mulai meletus.,Popcorn di dalam kantong itu mulai meletus karena saya tuang mentega ke dalam kantong popcorn itu.,Popcorn di dalam kantong itu mulai meletus karena saya hangatkan kantong popcorn itu di dalam microwave.,cause,1,False,karena
Sebuah pohon jatuhi kabel listrik.,Sebuah pohon jatuhi kabel listrik sehingga listrik di lingkungan itu padam.,Sebuah pohon jatuhi kabel listrik sehingga telah diramal adanya angin kencang.,effect,0,False,sehingga
Pembicara membuat komentar yang kurang baik.,Pembicara membuat komentar yang kurang baik sehingga dia membuat penonton bosan.,Pembicara membuat komentar yang kurang baik sehingga dia menyinggung penonton.,effect,1,False,sehingga
Saya menusuk tanganku dengan sebuah pin.,Saya menusuk tanganku dengan sebuah pin sehingga butir keringat menetes dari wajahku.,Saya menusuk tanganku dengan sebuah pin sehingga setetes darah jatuh dari jari saya.,effect,1,False,sehingga
Ikan itu mengapung di permukaan tangki.,Ikan itu mengapung di permukaan tangki karena ikan itu lapar.,Ikan itu mengapung di permukaan tangki karena ikan itu sudah mati.,cause,1,False,karena
Suara pria itu terdengar serak.,Suara pria itu terdengar serak karena ia sakit.,Suara pria itu terdengar serak karena ia telah berhenti merokok.,cause,0,False,karena
Pintu lift terbuka.,Pintu lift terbuka karena lift telah sampai di lantai yang ditentukan.,Pintu lift terbuka karena lift itu macet di antara lantai.,cause,0,False,karena
Remaja itu menyelinap keluar dari rumah.,Remaja itu menyelinap keluar dari rumah karena ia bohong kepada orang tuanya.,Remaja itu menyelinap keluar dari rumah karena ia dihukum oleh orang tuanya.,cause,1,False,karena
Lantai kamar mandi terbanjir.,Lantai kamar mandi terbanjir karena toilet di kamar mandi bocor.,Lantai kamar mandi terbanjir karena pemanas air rusak.,cause,0,False,karena
Anak anjing itu tinggal di dekat pemiliknya.,Anak anjing itu tinggal di dekat pemiliknya karena pemilik anjing itu pakaikannya sebuah kalung.,Anak anjing itu tinggal di dekat pemiliknya karena anjing itu dirantai oleh pemiliknya.,cause,1,False,karena
Pria itu lihat bayangannya sendiri.,Pria itu lihat bayangannya sendiri karena ia berdiri di bawah pohon yang besar.,Pria itu lihat bayangannya sendiri karena ia berdiri di tepi kolam yang damai.,cause,1,False,karena
Saya tidak jawab panggilan telepon pacar saya.,Saya tidak jawab panggilan telepon pacar saya sehingga saya telpon dia balik.,Saya tidak jawab panggilan telepon pacar saya sehingga saya makan malam dengannya.,effect,0,False,sehingga
Keluarga itu mencari tetangga-tetangganya.,Keluarga itu mencari tetangga-tetangganya sehingga anjing mereka kabur dari rumah.,Keluarga itu mencari tetangga-tetangganya sehingga berlian mereka yang mahal telah hilang dari rumah.,effect,0,False,sehingga
Saya lihat hembusan napas saya.,Saya lihat hembusan napas saya karena cuacanya sedang dingin.,Saya lihat hembusan napas saya karena dada saya terasa kencang.,cause,0,False,karena
Para karyawan membentuk serikat pekerja.,Para karyawan membentuk serikat pekerja karena mereka menginginkan kondisi kerja yang lebih baik.,Para karyawan membentuk serikat pekerja karena bos mereka menaikkan upah mereka.,cause,0,False,karena
Saya buat sebuah pai apel.,Saya buat sebuah pai apel sehingga ada bau busuk memenuhi dapur.,Saya buat sebuah pai apel sehingga aroma hangat memenuhi dapur.,effect,1,False,sehingga
Wanita itu susah jalan.,Wanita itu susah jalan karena ia sedang pakai sepatu dengan hak tinggi.,Wanita itu susah jalan karena ia lepaskan sepatunya.,cause,0,False,karena
Asap keluar dari panci air panas.,Asap keluar dari panci air panas karena air itu mendidih.,Asap keluar dari panci air panas karena saya tutup panci itu.,cause,0,False,karena
Semua kaos kaki saya ada di dalam cucian.,Semua kaos kaki saya ada di dalam cucian sehingga saya pakai sendal.,Semua kaos kaki saya ada di dalam cucian sehingga saya pakai sepatu boot.,effect,0,False,sehingga
Argumen politisi itu dianggap absurd.,Argumen politisi itu dianggap absurd sehingga ia hilang banyak dukungan dari para pemilih.,Argumen politisi itu dianggap absurd sehingga ia dituduh telah korupsi.,effect,0,False,sehingga
Semua orang tidak setuju dengan tunangan pasangan itu.,Semua orang tidak setuju dengan tunangan pasangan itu sehingga pasangan itu hamil.,Semua orang tidak setuju dengan tunangan pasangan itu sehingga pasangan itu kabur untuk menikah.,effect,1,False,sehingga
Bangunan itu didedikasikan untuk seorang jutawan.,Bangunan itu didedikasikan untuk seorang jutawan karena ia inginkan gedung itu dihancurkan.,Bangunan itu didedikasikan untuk seorang jutawan karena ia telah mendonasikan uang untuk membuat gedung itu.,cause,1,False,karena
Si penjual menuduh gadis itu telah mencuri.,Si penjual menuduh gadis itu telah mencuri karena ia lihat gadis itu menaruh barang dagangan di dompetnya.,Si penjual menuduh gadis itu telah mencuri karena ia bantu gadis itu mencari dompet yang diinginkannya.,cause,0,False,karena
Negara itu menyatakan perang melawan wilayah tetangga.,Negara itu menyatakan perang melawan wilayah tetangga sehingga tentara dikirim untuk berperang.,Negara itu menyatakan perang melawan wilayah tetangga sehingga tentara kembali bersatu dengan keluarga mereka.,effect,0,False,sehingga
Pengadilan tetap dukung putusan kontroversial tersebut.,Pengadilan tetap dukung putusan kontroversial tersebut sehingga kerusuhan pecah di depan gedung pengadilan.,Pengadilan tetap dukung putusan kontroversial tersebut sehingga sepasang suami istri bertukar sumpah di depan gedung pengadilan.,effect,0,False,sehingga
Gadis itu mencium sesuatu yang terbakar.,Gadis itu mencium sesuatu yang terbakar karena ia ambil biskuit dari sebuah kendi.,Gadis itu mencium sesuatu yang terbakar karena dia tinggalkan masakan biskuitnya di oven terlalu lama.,cause,1,False,karena
Sedang ada hujan lebat.,Sedang ada hujan lebat sehingga badai pun memburuk.,Sedang ada hujan lebat sehingga saya berlari untuk masuk ke gedung.,effect,1,False,sehingga
Gedung itu telah dievakuasi.,Gedung itu telah dievakuasi karena lift telah berhenti bekerja.,Gedung itu telah dievakuasi karena alarm kebakaran berbunyi.,cause,1,False,karena
Sang ayah benci alkoholisme putranya.,Sang ayah benci alkoholisme putranya sehingga sang ayah belikan sebuah botol bir untuk anaknya.,Sang ayah benci alkoholisme putranya sehingga anak itu diusir dari rumahnya oleh ayahnya.,effect,1,False,sehingga
Si pengacara naik tangga untuk sampai ke kantornya.,Si pengacara naik tangga untuk sampai ke kantornya karena sekretarisnya telah pulang kantor.,Si pengacara naik tangga untuk sampai ke kantornya karena liftnya sedang tidak bekerja.,cause,1,False,karena
Pria itu sebal dengan temannya.,Pria itu sebal dengan temannya karena ia diinterupsi oleh temannya.,Pria itu sebal dengan temannya karena temannya belikannya makan siang.,cause,0,False,karena
Gadis itu berikan uang kepada kasir.,Gadis itu berikan uang kepada kasir sehingga kasirnya memberikannya kemabalian uangnya.,Gadis itu berikan uang kepada kasir sehingga kasirnya lupa berikan reset kepada gadis itu.,effect,0,False,sehingga
Wanita itu menggunakan kursi roda.,Wanita itu menggunakan kursi roda karena ia terparalisis karena sebuah kecelakaan.,Wanita itu menggunakan kursi roda karena ia masuk ke rumah sakit di atas sebuah stretcher.,cause,0,False,karena
Para warga menggantung bendera nasional di luar rumah mereka.,Para warga menggantung bendera nasional di luar rumah mereka karena negara itu sedang memperingati kemerdekaannya.,Para warga menggantung bendera nasional di luar rumah mereka karena negara itu sedang menghadapi kesulitan ekonomi.,cause,0,False,karena
Tim itu kalah di turnamennya.,Tim itu kalah di turnamennya sehingga mereka telah mengecewakan penggemarnya.,Tim itu kalah di turnamennya sehingga mereka menginspirasi penggemarnya.,effect,0,False,sehingga
Teman saya memberikan tahu bahwa ada makanan tersangkut di gigi saya.,Teman saya memberikan tahu bahwa ada makanan tersangkut di gigi saya sehingga saya merasa malu.,Teman saya memberikan tahu bahwa ada makanan tersangkut di gigi saya sehingga saya merasa bangga.,effect,0,False,sehingga
Anak laki itu gagal ujian sejarahnya.,Anak laki itu gagal ujian sejarahnya karena ia selalu memerhatikan gurunya di kelas.,Anak laki itu gagal ujian sejarahnya karena ia lupa belajar untuk ujiannya.,cause,1,False,karena
Bangunan pusat kota runtuh.,Bangunan pusat kota runtuh karena terjadi gempa di kota itu.,Bangunan pusat kota runtuh karena tingkat kejahatan di kota meningkat.,cause,0,False,karena
Pria itu diputuskan oleh pacarnya.,Pria itu diputuskan oleh pacarnya sehingga dia memohon padanya untuk berhubungan kembali.,Pria itu diputuskan oleh pacarnya sehingga dia diperkenalkan kepada orang tua pacarnya.,effect,0,False,sehingga
Kedua anak itu meraih ke bawa untuk mengambil bola itu.,Kedua anak itu meraih ke bawa untuk mengambil bola itu sehingga bola itu terguling menjauhi mereka.,Kedua anak itu meraih ke bawa untuk mengambil bola itu sehingga kepala mereka terbentur.,effect,1,False,sehingga
Sebuah rakun menggeledahi tempat sampah.,Sebuah rakun menggeledahi tempat sampah karena terdapat kardus di dalam tempat sampah itu.,Sebuah rakun menggeledahi tempat sampah karena tempat sampah itu terbuka.,cause,1,False,karena
Bocah itu tajamkan pensilnya.,Bocah itu tajamkan pensilnya karena pensilnya murah.,Bocah itu tajamkan pensilnya karena pensilnya sudah tumpul.,cause,1,False,karena
Kasir itu menolak permintaan  pengembalian uang untuk gaun wanita itu.,Kasir itu menolak permintaan  pengembalian uang untuk gaun wanita itu karena wanita itu telah hilangkan resetnya.,Kasir itu menolak permintaan  pengembalian uang untuk gaun wanita itu karena gaun itu tidak muat dipakai wanita itu.,cause,0,False,karena
Goresan di kulitku sangat dalam.,Goresan di kulitku sangat dalam sehingga goresan itu cepat sembuh.,Goresan di kulitku sangat dalam sehingga goresan itu meinggalkan bekas luka.,effect,1,False,sehingga
Pria itu mendapat tatapan aneh dari penumpang di kereta.,Pria itu mendapat tatapan aneh dari penumpang di kereta karena ia sedang lihat ke lantai.,Pria itu mendapat tatapan aneh dari penumpang di kereta karena ia sedang berbicara kepada dirinya sendiri.,cause,1,False,karena
Anak itu meninggalkan remah-remah roti di lantai.,Anak itu meninggalkan remah-remah roti di lantai sehingga semut mendatangi remah-remah itu.,Anak itu meninggalkan remah-remah roti di lantai sehingga anak itu buang rotinya.,effect,0,False,sehingga
Wanita itu memberi tisu kepada saudara perempuannya.,Wanita itu memberi tisu kepada saudara perempuannya karena saudara perempuan itu melipat tangannya.,Wanita itu memberi tisu kepada saudara perempuannya karena saudara perempuan itu mulai menangis.,cause,1,False,karena
Pria itu makan sebuah permen mint.,Pria itu makan sebuah permen mint karena bibirnya kering.,Pria itu makan sebuah permen mint karena ia takut mulutnya berbau.,cause,1,False,karena
Pasangan itu berangkat lebih awal untuk sampai di pertunjukan.,Pasangan itu berangkat lebih awal untuk sampai di pertunjukan karena mereka mengantisipasi adanya macet di sekitar teater.,Pasangan itu berangkat lebih awal untuk sampai di pertunjukan karena mereka mendapat petunjuk arah ke teater.,cause,0,False,karena
Wanita itu bolos dari kantor.,Wanita itu bolos dari kantor sehingga bosnya memujinya.,Wanita itu bolos dari kantor sehingga rekan kerjanya bantu ambil shift kerjanya.,effect,1,False,sehingga
Pria itu menandatangani petisi para aktivis.,Pria itu menandatangani petisi para aktivis karena dia mendukung perjuangan mereka.,Pria itu menandatangani petisi para aktivis karena dia mencela mereka karena dikira orang gila.,cause,0,False,karena
Hati aktor itu berdebar sebelum penampilannya.,Hati aktor itu berdebar sebelum penampilannya karena dia mengalami demam panggung.,Hati aktor itu berdebar sebelum penampilannya karena ia telah hafalkan dialognya.,cause,0,False,karena
Saya hilang.,Saya hilang sehingga saya hitung uang saya.,Saya hilang sehingga saya buka sebuah peta.,effect,1,False,sehingga
Buah matang itu ditinggal di bawah sinar matahari.,Buah matang itu ditinggal di bawah sinar matahari sehingga buah itu telah dimakan.,Buah matang itu ditinggal di bawah sinar matahari sehingga buah itu mengkerut.,effect,1,False,sehingga
Mobil itu mogok.,Mobil itu mogok karena saya nyalakan mesin.,Mobil itu mogok karena mesinnya telah menjadi terlalu panas.,cause,1,False,karena
Punggung laki-laki itu terluka.,Punggung laki-laki itu terluka sehingga dia pergi ke psikiater.,Punggung laki-laki itu terluka sehingga dia dirawat selama beberapa hari.,effect,1,False,sehingga
Saya nyalakan api di perapian.,Saya nyalakan api di perapian karena saya kehabisan kayu bakar.,Saya nyalakan api di perapian karena dalam rumah itu dingin.,cause,1,False,karena
Wanita itu berhenti lari.,Wanita itu berhenti lari karena ia kejang di sisi badanya.,Wanita itu berhenti lari karena ia kehilangan napas.,cause,0,False,karena
Saya ketuk pintu tetangga saya.,Saya ketuk pintu tetangga saya sehingga ia undang saya ke dalam rumahnya.,Saya ketuk pintu tetangga saya sehingga ia pergi dari rumahnya.,effect,0,False,sehingga
Wanita itu menghela nafas frustrasi.,Wanita itu menghela nafas frustrasi karena suaminya salah memahami kekhawatirannya.,Wanita itu menghela nafas frustrasi karena suaminya menciumnya selamat tinggal.,cause,0,False,karena
Guru itu memuji muridnya.,Guru itu memuji muridnya karena muridnya jawab pertanyaannya dengan benar.,Guru itu memuji muridnya karena muridnya ragu ketika menjawab pertanyaannya.,cause,0,False,karena
Wanita itu kehabisan telur.,Wanita itu kehabisan telur sehingga ia pergi ke pertanian.,Wanita itu kehabisan telur sehingga ia pergi ke supermarket.,effect,1,False,sehingga
Saya bertemu dengan teman lama.,Saya bertemu dengan teman lama sehingga saya memberi tahukanya sebuah rahasia.,Saya bertemu dengan teman lama sehingga saya berikannya pelukan.,effect,1,False,sehingga
Wanita itu menghindari pergi ke danau.,Wanita itu menghindari pergi ke danau karena ia tangkap sebuah ikan.,Wanita itu menghindari pergi ke danau karena danau itu terlihat terkontaminasi.,cause,1,False,karena
Siswa tiba di kelas basah kuyup.,Siswa tiba di kelas basah kuyup karena payungnya telah rusak.,Siswa tiba di kelas basah kuyup karena sepedanya telah dicuri.,cause,0,False,karena
Kursor di layar komputer bergerak.,Kursor di layar komputer bergerak karena penggunanya mengklik mousenya.,Kursor di layar komputer bergerak karena penggunanya gerakkan mousenya.,cause,1,False,karena
Sopir itu mengambil jalan memutar.,Sopir itu mengambil jalan memutar karena ada kecelakaan terjadi di jalan utama.,Sopir itu mengambil jalan memutar karena dia mengikuti truk di depannya.,cause,0,False,karena
